movie_id,Title,Year,Rating,Runtime,Critic.Score,Box.Office,availability
1,The Whole Nine Yards,2000,R,98,45,57.3,True
2,Gladiator,2000,R,155,76,187.3,True
3,Cirque du Soleil,2000,G,39,45,13.4,True
4,Dinosaur,2000,PG,82,65,135.6,True
5,Big Momma's House,2000,PG-13,99,30,0.5,True
6,Gone in Sixty Seconds,2000,PG-13,118,24,101.0,True
7,Shaft,2000,R,99,68,70.3,True
8,"Me, Myself & Irene",2000,R,116,48,0.6,True
9,Chicken Run,2000,G,84,97,106.6,True
10,The Patriot,2000,R,165,62,2.3,True
11,The Adventures of Rocky & Bullwinkle,2000,PG,92,43,0.4,True
12,The Kid,2000,PG,104,49,68.5,True
13,X-Men,2000,PG-13,104,82,156.2,True
14,What Lies Beneath,2000,PG-13,130,46,155.0,True
15,Thomas and the Magic Railroad,2000,G,85,19,2.0,True
16,Nutty Professor II: The Klumps,2000,PG-13,106,26,122.4,True
17,Hollow Man,2000,R,112,27,72.1,True
18,Coyote Ugly,2000,PG-13,100,22,59.8,True
19,Space Cowboys,2000,PG-13,130,78,89.4,True
20,The Replacements,2000,PG-13,118,40,44.0,True
21,Bless the Child,2000,R,107,3,28.1,True
22,The Original Kings of Comedy,2000,R,115,86,37.7,True
23,The Cell,2000,R,107,45,60.0,True
24,The Crew,2000,PG-13,88,20,12.5,True
25,Bring It On,2000,PG-13,98,63,67.9,True
26,The Art of War,2000,R,117,16,29.5,True
27,The Tao of Steve,2000,R,87,80,2.6,True
28,Whipped,2000,R,82,13,3.8,True
29,Backstage,2000,R,86,31,0.7,True
30,Turn It Up,2000,R,86,8,0.7,True
31,The Way of the Gun,2000,R,119,48,5.2,True
32,Nurse Betty,2000,R,110,84,25.0,True
33,The Watcher,2000,R,97,10,28.6,True
34,Duets,2000,R,112,20,4.3,True
35,Bait,2000,R,119,26,14.9,True
36,Urban Legends: Final Cut,2000,R,97,9,21.0,True
37,Woman on Top,2000,R,92,34,4.5,True
38,Almost Famous,2000,R,122,88,31.7,True
39,Remember the Titans,2000,PG,113,73,114.3,True
40,Beautiful,2000,PG-13,112,16,2.8,True
41,Dancer in the Dark,2000,R,140,68,2.8,True
42,Meet the Parents,2000,PG-13,108,84,164.5,True
43,Girlfight,2000,R,110,87,0.8,True
44,Digimon: The Movie,2000,PG,82,25,9.0,True
45,Get Carter,2000,R,102,12,14.6,True
46,Dr. T and the Women,2000,R,122,57,12.1,True
47,The Contender,2000,R,126,76,16.1,True
48,Lost Souls,2000,R,97,7,16.4,True
49,The Ladies Man,2000,R,84,11,13.4,True
50,Best in Show,2000,PG-13,90,95,16.6,True
51,Pay It Forward,2000,PG-13,123,40,32.8,True
52,Bamboozled,2000,R,135,48,1.9,True
53,Bedazzled,2000,PG-13,93,49,37.0,True
54,Lucky Numbers,2000,R,105,22,9.5,True
55,The Little Vampire,2000,PG,95,55,13.4,True
56,Charlie's Angels,2000,PG-13,98,67,124.4,True
57,The Legend of Bagger Vance,2000,PG-13,126,43,30.4,True
58,Red Planet,2000,PG-13,106,14,17.1,True
59,Little Nicky,2000,PG-13,90,22,38.5,True
60,Men of Honor,2000,R,129,41,46.2,True
61,The 6th Day,2000,PG-13,123,41,33.8,True
62,How the Grinch Stole Christmas,2000,PG,104,53,259.0,True
63,102 Dalmatians,2000,G,100,31,65.4,True
64,What's Cooking?,2000,PG-13,109,52,0.7,True
65,Dungeons & Dragons,2000,PG-13,107,10,14.8,True
66,Proof of Life,2000,R,135,40,31.2,True
67,Vertical Limit,2000,PG-13,124,48,67.8,True
68,What Women Want,2000,PG-13,127,54,181.5,True
69,Requiem for a Dream,2000,R,102,78,2.5,True
70,The Emperor's New Groove,2000,G,78,85,87.3,True
71,"Dude, Where's My Car?",2000,PG-13,83,18,45.0,True
72,The Family Man,2000,PG-13,125,53,73.7,True
73,You Can Count on Me,2000,R,111,95,8.4,True
74,Miss Congeniality,2000,PG-13,109,42,105.5,True
75,Quills,2000,R,124,75,4.3,True
76,All the Pretty Horses,2000,PG-13,116,32,14.7,True
77,Traffic,2000,R,147,92,123.8,True
78,State and Main,2000,R,105,86,5.8,True
79,"Crouching Tiger, Hidden Dragon",2000,PG-13,120,97,127.7,True
80,Thirteen Days,2000,PG-13,145,83,33.1,True
81,Finding Forrester,2000,PG-13,136,74,51.4,True
82,The Gift,2000,R,111,57,11.2,True
83,Chocolat,2000,PG-13,121,63,71.3,True
84,Snatch.,2000,R,102,73,30.1,True
85,Shadow of the Vampire,2000,R,92,81,7.5,True
86,"O Brother, Where Art Thou?",2000,PG-13,106,77,45.2,True
87,Before Night Falls,2000,R,133,73,2.8,True
88,An Everlasting Piece,2000,R,103,48,0.0091,True
89,Pollock,2000,R,122,81,7.3,True
90,Memento,2000,R,113,92,23.8,True
91,The Golden Bowl,2000,R,130,54,2.2,True
92,Songcatcher,2000,PG-13,109,74,1.6,True
93,The Endurance,2000,G,97,95,2.1,True
94,Tadpole,2000,PG-13,78,78,2.9,True
95,The Debut,2000,R,88,74,1.5,True
96,Antitrust,2001,PG-13,109,24,11.0,True
97,Double Take,2001,PG-13,88,12,28.5,True
98,The Pledge,2001,R,124,78,18.9,True
99,"Scotland, Pa.",2001,R,104,59,0.2,True
100,Sugar & Spice,2001,PG-13,81,28,12.4,True
101,Head Over Heels,2001,PG-13,86,10,9.9,True
102,Valentine,2001,R,96,8,19.8,True
103,Hannibal,2001,R,131,39,163.9,True
104,Saving Silverman,2001,PG-13,90,18,19.0,True
105,Recess: School's Out,2001,G,82,61,34.8,True
106,Sweet November,2001,PG-13,119,16,24.4,True
107,Down to Earth,2001,PG-13,87,20,63.1,True
108,Haunted Castle,2001,PG,38,25,12.4,True
109,Monkeybone,2001,PG-13,93,20,4.9,True
110,3000 Miles to Graceland,2001,R,125,14,15.3,True
111,See Spot Run,2001,PG,94,23,32.5,True
112,The Mexican,2001,R,123,56,66.6,True
113,Carman: The Champion,2001,PG-13,82,11,1.3,True
114,Get Over It,2001,PG-13,87,44,11.3,True
115,15 Minutes,2001,R,120,33,24.2,True
116,Bartleby,2001,PG-13,83,35,0.0603,True
117,Never Again,2001,R,98,31,0.2,True
118,Enemy at the Gates,2001,R,131,54,50.5,True
119,Exit Wounds,2001,R,101,32,51.4,True
120,Heartbreakers,2001,PG-13,123,53,39.9,True
121,The Brothers,2001,R,106,63,26.6,True
122,Say It Isn't So,2001,R,95,9,4.8,True
123,Spy Kids,2001,PG,88,93,110.8,True
124,Someone Like You...,2001,PG-13,97,43,26.7,True
125,Along Came a Spider,2001,R,104,32,73.6,True
126,Blow,2001,R,124,55,52.8,True
127,Joe Dirt,2001,PG-13,91,11,27.1,True
128,Kingdom Come,2001,PG,94,28,22.6,True
